evn	rus
)	вы
) (	вы
) бу (	ты / вы
) кэтэтвэрит (	много
) мит (	мы с тобо?й / ва?ми
) сундук	спросить
) сундӯ	дать
) сунтыкӣ	сказать
) сунэ, сунэвэ	видеть
) хэгдытмэр (	большой
), миндӯ книгал а̄чин	у меня книга отсутствует
-ва, -тула̄	куда?, на что?
-вал	хотя... но
-вал (	не только... но и
-га̄чин, -ӈа̄чин, -ка̄чин	такой же, как...
-да̄, -дэ̄	«ведь»
-дук, -тук	от кого?, от чего?, из чего
-дук, -тук	спросить, взять у кого?
-дӯ, -тӯ	где?, на чём?, на что?
-кнан	до того, что
-нун	мы
-ткӣ, -тыкӣ	в каком направлении?
1887 анӈанидук студенталва  ургэ камникачин ургэтмэр очан	с 1887 года усилилось притеснение студентов
2.	тот
?элэвкэ̄н-мӣ	вызвать страх
«Буран» гусеницылин бихи?	Есть ли гусеницы для «бурана»?
«Бэркэ дярин» медаль	медаль «За отвагу»
А, дагакан дюр амут бихин.	Да, есть недалеко 2 озера.
А, сома ая токиду.	Да, она хорошо идет на лося.
А. С. Пушкин  хаван-да, инкичин-дэ	жизнь и деятельность А.С. Пушкина
Авгарат бикэл, кутуя эетчэм!	Будьте здоровы, счастливы!
Автобухит.	Автобусом.
Агиду гиркичи ая бивки. Эгданду гиркичи ая бивки.	В тайге с другом легко.
Администрациялан он суруӈнэм?	Как дойти до администрации села?
Адреспав дуккал.	Запишите мой адрес.
Ады дукулан бихин?	Сколько писателей?
Ады куӈакар алагувкил?	Сколько учащихся в школе?
Ады остановкава суруӈэтыв?	Сколько остановок мне ехать?
Ады тамачи?	А сколько стоит одна?
Ады хутэчи бихинни?	Сколько детей?
Ады частук адымакла врач ичэвки?	В какие часы принимает врач?
Ады-кат энулим.	Недавно заболел.
Адыкан инэӈи оран.	Совсем недавно.
Адыкан турэнмэ саӈнам-да турэттави эӈнэм аят.	Немного слов знаю, но речь плохо понимаю.
Адыл бихиллун?	Сколько человек?
Адыллава эӈнэнни хавалла?	Сколько дней не работаешь?
Адычи бихинни?	Сколько вам лет?
Академия наук, Наукал академиятын	Академия наук
Акинми токива, некэвэ (андагива) бэюкиэвки.	Мой брат охотится на лося и соболя.
Акинми эрэгэр дукчавки.	Старший брат мне часто пишет.
Акинны экунма бэюктэвки?	На кого охотится ваш брат?
Алагумнил кэтэл-гу? Татыгамӈул кэтэл-гу?	Много ли учителей?
Александр  Петрович мэнин мэндуви сова хавалкирави оча	Александр Петрович сам  выработал в себе исключительную работоспособность
Александр Евгеньевич эчэн  хэлинчэдерэ ламу баргидадун бидерил ученаил гэлэдеривэтын одави	Александр  Евгеньевич не очень торопился исполнить просьбу заморских учёных
Александр тэгэмэрвэ вамуналин арестуивча бичэн	Александр за покушение на царя был арестован
Алексей Максимович Горький дюр  дяр дяпкунду мартаду тысяча дяпкун нямади нюӈун дяр анӈаниду балдычан	Алексей  Максимович Горький родился двадцать восьмого марта тысяча восемьсот шестьдесят  восьмого года
Алитет Немтушкин тадук Галина Варламова-Кэптукэ.	Алитет Немтушкин и Галина Варламова-Кэптукэ.
Алла ханӈуктачан умукэнэ книгая гадави,  эниндуви ичэвкэндэви	Алла попросила позволить взять одну книгу, чтобы  показать своей маме
Алёша окно нэптэкэлэн энэ барэ туктычэн	Алёша охотно влез на подоконник
Аминдуви коӈкодев.	Надо позвонить отцу.
Аминми бултавки.	Отец охотится.
Аминни иду хавалдяран?	Где работает отец?
Амтылви хагдыл.	Мои родители старые.
Амтылдулави дукум (отцовский род). Энтылдулави дукум (материнский род).	Написал родителям письмо.
Амтылдулави эмэм. Энтылдулави эмэм.	Приехал навестить родных.
Амтылли бихи-гу? Энтылли бихи-гу?	Есть ли у вас родители?
Амтылнюнми умун дюду бидем.	Живу вместе с родителями.
Амудил бихи-гу?	Есть ли озеро возле вашего поселка?
Андрюша нямади дюр дярдула таӈчан, тадук дедычэн	Андрюша  досчитал до ста двадцати и сбился
Антон  хавави этэксэ, дюлави ирэн	после работы Антон забежал домой
Антон  халгардиви умэкэчэрин дугэлдитын гугдутчана суручэн	Антон пошёл на цыпочках
Антон  шинельви локоптундук гачан	Антон снял с вешалки шинель
Антон хавалдяридук чучунмава мудачива резиновайва шлангава гачан	Антон  взял у служащего резиновый шланг с медным наконечником
Антон хавалкиттун упкат садечатын омолгин  сокоривнаван	на службе Антона все уже знали, что у него потерялся сын
Аня бирава баргигит долдывдерилва пэктырурвэ долчатчачан	Аня прислушивалась к выстрелам, доносившимся с противоположного берега реки
Анӈакал!	Пожалуйста!
Аптека иду бихин?	Где аптека?
Аракухинди турэткэл.	Говорите медленнее.
Аркадий мэнин мэндуви сова хавалкирави оча	Аркадий  сам выработал в себе исключительную трудоспособность
Аркадий ханӈуктанан Романду-да  умнэт оловсипчу бичэн	вопрос Аркадия застал врасплох и Романа
Артём хавае  ачиндула хавамнила дагамачан	Артём подошёл к свободному рабочему
Артём, дыримэт балдыдярил мол лукул сэктэлвэтын лупумнэк гатакат угдусидяна, арчаптыки ючэн	проворно продираясь сквозь густые ветки тесно растущих деревьев, навстречу вышел Артём
Архип даран биси яӈ гугдала элдэнӈилэн асатканмэ сурувчэн	Архип повёл девочку  на высокий склон соседней сопки
Ася хавалкиттуви кабинеттуви хавадуви сомат мэргэвсипчут  тэгэтчэчэн	Ася сидела в своём рабочем кабинете очень печальная
Ахал инэӈидитын!	С днём 8 Марта!
Ахив — Ольга. Атырканми — Ольга.	Жена — Ольга.
Аэрофлот агентствон	агентство Аэрофлота
Ая ахилтанат!	Добрый вечер!
Ая инэӈит!	Добрый день!
Ая тэгэлтэнэт! Ая тыманит!	Доброе утро!
Ая, алатчиӈав.	Хорошо, буду ждать.
Ая, тыми коӈкодев.	Хорошо, я позвоню вам утром.
Аяке! Гудяйке!	Очень красиво!
Аят таттас эетчэм!	С успехом в учёбе!
Аят хавалдас эетчэм!	С успехом в труде!
Аят-гу би турэтчэм? Аят-гу би гундем?	Хорошо ли я говорю?
Аят.	Хорошо.
Багдарина.	Белого.
Бадага, машинаду эмэнчэс. Бадага, машинаду омӈочос.	Наверное, вы забыли его в машине.
Байкалдула кэтэ бирал, биракачар даптутара	в  Байкал впадает много рек и речушек
Бакалдыдала!	До свидания!
Балдынас инэӈидис!	С днём рождения!
Бегава бидиӈэв. Бегадиӈэв.	Пробуду месяц.
Би Томмотук (Ёко дуннэдукин).	Я из Томмота (Якутии).
Би агиду бидем.	Я живу в тайге.
Би администрацияла сурумчув.	Мне нужно сходить в администрацию.
Би ахинимчав.	Я бы поспал.
Би бэгдэкитту хавалиӈнам.	Работаю в больнице.
Би бэюмэмчэв.	Я хочу пойти на охоту.
Би волейболду эвиӈнэм.	Играю в волейбол.
Би гиркуктамвчав.	Мне хотелось бы прогуляться.
Би городту бидем.	Я живу в городе.
Би гулэсэгду бидем.	Я живу в деревне.
Би доровуяв аяпчу одяран.	Здоровье у меня улучшается.
Би доровуяв эрупчу одяран.	Здоровье у меня ухудшается.
Би дэрумкимчэв.	Я бы отдохнул.
Би дюр хутэчи бихим.	У меня двое детей.
Би дялдулави Жиганскайла суруӈнэм.	Я еду к родственникам в Жиганск.
Би иландяричи бихим.	Мне тридцать.
Би кинола сурумчув.	Я хочу пойти в кино.
Би магазиндула суруктэдеӈэв.	Мне надо сходить в магазин.
Би магазиндула сурумчув.	Я хочу пойти в магазин.
Би оллое гадиӈав.	Я куплю рыбы.
Би олломотта сурумчув.	Я хочу пойти на рыбалку.
Би переводва гадям.	Я получаю перевод.
Би переводва уӈдем.	Я посылаю перевод.
Би си аминмас ичэдэви эетчэм.	Мне хотелось бы встретиться с твоим отцом.
Би си энинмэс ичэдэви эетчэм.	Мне хотелось бы встретиться с твоей матерью.
Би синду аяя оӈатыв (омачинми).	Я вам очень обязан!
Би сини гиркивэс ичэдэви эетчэм.	Мне хотелось бы встретиться с твоим другом.
Би синэ аят тылинӈэм, эвэдыт-дэ гундэв ургэ. Би синэ аят уйдэӈнэм, эвэдыт-дэ гундэв ургэ.	Я вас хорошо понимаю, но мне трудно говорить.
Би синэ садави эетчэм!	Разрешите познакомиться!
Би синэ эхим тыллэ. Би синэ эхим уйдэрэ.	Я вас не понимаю.
Би сомат уруним! Аяке!	Как я рад! Как приятно!
Би сот депмулим.	Я очень хочу есть.
Би сот хиктырэвчэ бихим.	Я сильно простудился.
Би спортпа сам, эвиӈнэм.	Я занимаюсь спортом.
Би стадиондула сурумчув.	Я хочу пойти на стадион.
Би татнам.	Я приехал учиться.
Би татыгамнит хавалдям.	Я работаю учителем.
Би театрдула сурумчув.	Я хочу пойти в театр.
Би теннисту эвиӈнэм.	Играю в теннис.
Би тыми суруӈнэм. Би тыми ӈэнэӈнэм.	Я завтра уеду.
Би умулим.	Я хочу пить.
Би умун хутэчи бихим.	У меня один ребёнок.
Би химкидем.	У меня кашель.
Би хутэе ачин бихим.	У меня нет детей.
Би эвэдыт турэттэви эетчем. Эвэдыттэи эетчем.	Я хочу учить эвенкийский язык.
Би энулим.	Я заболел.
Би эӈнэм эвирэ, тар эвирвэ эвирил кэтэл.	Я не играю, но у нас многие играют.
Би ӈинав некэду ая.	А моя собака хорошо идет на соболя.
Би ӈорчаӈнам.	Я занимаюсь борьбой.
Би — Иванов Пётр Романович бихим, ветеринар бихим.	Я — Иванов Пётр Романович, ветеринар.
Би — Нюрмаган омолгин бихим.	Я — сын Нюрмагана.
Би — Нюрмаган хунадин бихим.	Я — дочь Нюрмагана.
Бихи, заводтук.	Да есть, заводские.
Бихин муннэкэн.	Есть немного.
Бихин, эр иее ачин.	Есть, вот этот – без рогов.
Богдан  суручэн фабрика нюӈэлэн тадук хавави хавалдями этэчэн	Богдан пошёл к  хозяину фабрики и отказался от своей службы
Больницаду карантин оча.	В больнице карантин.
Борис Михаил  хивиндярилин мэнми виноватаит таӈдячан	Борис считал себя виноватым в  тревоге Михаила
Борис инектэндук албачан  маӈичадями	Борис не мог удержаться от смеха
Борис, толкитчана, ванэлви муннукарвэ ичэчэн	во сне Борис видел загубленных им зайцев
Бредихинъе кэтэ таӈучи кэргэнин тыкин городтула суручэн	многочисленное  семейство Бредихиных теперь уехало в город
Бу гостиницаду тыкрэв. Бу гостиницаду бидерэв.	Мы остановились в гостинице.
Бу давдырав.	В нашу пользу.
Бу командавун давдыран.	Наша команда победила.
Бу тунӈани бинэл бидерэв.	Нас пять человек.
Бу школавун омакта, ӈэрин, актовай, физкультурнай заличи.	Школа наша новая, светлая, с актовым, физкультурным залом.
Буга саӈа̄рин	Полярная звезда
Буга саӈарин, Буга чуӈурэ̄н*	Полярная звезда
Бугас иду бихин?	Вы откуда сами?
Бултадави, олломидави эмэм.	Приехал на охоту и рыбалку.
Бэгдэмӈудук справкава гадави.	Попроси у врача справку.
Бэгин ӈи?	Кто глава?
Бэгэвэ надан часту ахилтана ганадави.	За лекарством приходите в семь часов вечера.
Бэгэвэ окин оӈатыхун?	Когда будет готово лекарство?
Бэелвэ эӈнэрэв элэ ивкэнэ.	Посетителей не принимаем.
Бэлэтнэлис пасиба!	Благодарю за помощь!
Бэлэтнэлис пасиба!	Спасибо за помощь!
Бэюр яӈилдула ӈэнэрэ.	Дикие олени сейчас переходят на гольцы.
Бэюрвэ тугэ илтэнэдун бултаӈнарав.	Мы охотимся на дикого оленя в конце зимы.
Бэюрду окин бултаӈнарас?	Когда вы охотитесь на диких оленей?
Валя нёгутмарит ичэчэн троллейбус горогит дагамадяриван	Валя первой увидела  приближение издали троллейбуса
Варвара Данилова стихилва лучадыт дукувки.	Варвара Данилова пишет стихи на русском языке.
Варенье бихин-гу?	Есть ли у вас варенье?
Вася нуӈардуктын Машава Тамаранунма умнэт эчэн тагрэ	Вася не  сразу отыскал среди них Машу с Тамарой
Великай Отечественнай война	Великая Отечественная война
Вера Надяду силбачан иволга чалбугду,  аяткумамаду чалбанду бидеривэн	Вера сообщила Наде, что иволга живёт в роще  на самой красивой берёзе
Верхо̄внай гламнокомандующий	Верховный главнокомандующий
Виктор амаскиптыдук горотморво хавалдячан	Виктор  засиделся за работой дольше обычного
Володя  нуӈандукин ханӈуктанаватын аминдуви улгучэндечэн	Володя рассказывал отцу, о  чём они у него спрашивали
Володя  хавае ачин бисидутыкинми минутаду мотоциклави хувуӈкин	Володя каждую  свободную минуту разбирал свой мотоцикл
Володя, харпукатчэриви  этэксэ, суруӈэт биӈкин	Володе приходится, прекратив озорство, ретироваться
Времячи-гу бихинни?	Будет ли у вас время?
Газетал, журналил бихи-гу?	Есть ли газеты и журналы?
Галина  Сергеевна Лариса ханӈуктардулин улгучэндэви аран аминдячан	Галина Сергеевна  едва успевала отвечать на вопросы Ларисы
Гаӈатпар упкатпан-гу гарав?	Всё ли мы купили?
Ге мировой война	Вторая мировая война
Геванӈадук.	Да, с прошлого года.
Гирки хуенэкин ургэ бивки.	Терять друга тяжело.
Гиркив кэтэ.	У меня много друзей.
Гиркилдулэви эмэм.	Приехал навестить друзей.
Гоголь дукӯналван ю̄вун	издание сочинений Гоголя
Гонамду дюгадякив.	Мой летник на Гонаме.
Горо-гу хороки хорогон?	Далеко ли глухариный ток?
Горо-гу?	Далеко ли?
Горово эхит арчалдыра!	Давно не виделись!
Горово-гу биӈэтыс?	Надолго ли приехал?
Горотку Север таткичилдун татчарил куӈакар таӈутын 40 ра  хэгдысэчэ	количество обучающихся детей в школах Крайнего Севера увеличилось  в 40 раз
Гороткуду  Северду тунӈа анӈаничил планил анӈанилдутын кэтэмэ нотоптыл, дулугул таткичил  овчал	на Крайнем Севере за годы пятилеток выросла громадная сеть начальных  и средних школ
Гороткуду Северду тунӈа анӈаничил планил анӈанилдутын кэтэмэ  радиостанциял овчал	на Крайнем Севере за годы пятилеток выросла громадная  сеть радиостанций
Гостиницала он ӈэнэдем?	Как доехать до гостиницы?
Госуда̄рственнай Дума депутатын	депутат Государственной Думы
Государственнай Думаду синмар	выборы в Государственную Думу
Государственнэй Дума	Государственная Дума
Гриша манниду ханӈадуви тырэксэ, оллово аямамат ичэтчэӈкин	Гриша,  зажав в крепкой ладони рыбу, внимательно осматривал её
Гриша энинмэн иргичил вачатын	волки загрызли мать Гриши
Гэрбив Василий.	Меня зовут Василий.
Гэрбис ӈи?	Как вас зовут?
Да̄льний Восток	Дальний Восток
Давдын Пара̄дын	Парад Победы
Даша статья гэрбивэн  таӈчан	Даша прочитала название статьи
Даша тэтчэ  бичэн хэгдылвэ валенкалва, энинми сунмэн, тадук касимчат платокит дылви  учивувча бичэн	Даша была в громадных валенках, в материнском пальто и  закутана рваным платком
Даша, комнатали аминми кабинетын дагалин каӈкит гирандяна, ӈэнэмнин  ка#1224;кит турэнди гуӈкин	Даша,  быстро шагая мимо кабинета отца, скороговоркой на ходу говорила
Девгэ магазиндулан игэт.	Зайдём в продуктовый магазин.
Делил, сугдяннал, сурил, гуткэр, екэчэр тадук хунтул-да.	Таймени, ленки, сиги, щуки, окуни и другие.
