evn	rus
-бука	будто
-ва	о
-ва	об
-ва	обо
-ва	про
-ва	что
-вал	то
-вал	хоть
-вал	хотя
-вка	надо
-вка̄	нужно
-вка̄	следовать
-вка̄	стоить
-вка̄н	велеть
-вка̄н	дать
-вка̄н	заставить
-вка̄н	позволить
-вка̄н	позволять
-вка̄н	предлагать
-вка̄н	предложить
-вка̄н	приказать
-вка̄н	приказывать
-вка̄н	разрешать
-вка̄н	разрешить
-вун	для
-вэт	хронический
-га̄чин	будто
-га̄чин	словно
-га̄чин	точно
-гали	с
-гали	со
-гачин	подобный
-гда	только
-гу	ли
-гу	либо
-гӯ	или
-да	а
-да̄	вообще
-да̄	да
-да̄	и
-да̄	ни
-да̄	чтобы
-деӈэ̄	уметь
-ду	принадлежать
-дӯ	при
-дӯн	за
-дук	за
-дук	из
-дук	изо
-дула̄	до
-дула̄	к
-дула̄	ко
-дулӣ	за
-дулӣ	по
-дэ̄	же
-дэ̄	и
-дэ̄	ни
-дянма̄	пока
-дяӈа	мочь
-дяӈа̄	возможность
-дяӈа̄	суметь
-дяӈа̄	умение
-дяӈа̄	уметь
-дӯ	в
-дӯ	во
-ка̄кӯн	очень
-ка̄кӯн	чрезвычайно
-ка̄н	симулировать
-ка̄т	игра
-ка̄чин	вроде
-ка̄чин	словно
-ка̄чин	точно
-кат	вообще
-качин	подобный
-кси	добиваться
-кси	испытать
-кси	рваться
-ксин	стремление
-ксэ̄	стремиться
-ксӣ	стараться
-ку	ли
-ку	либо
-кэ̄н	симулировать
-кэ̄т	игра
-кӯ	или
-л	начать
-л	начинать
-л	приступить
-ла̄	до
-ла̄	к
-ла̄	ко
-ла̄н	талант
-лаки	если
-ли	приступить
-лӣ	за
-лӣ	по
-лӣ	через
-ма	о
-ма	об
-ма	обо
-ма	почти
-ма̄ма	совершенно
-ма̄мэ	совершенно
-ма̄чин	цель
-мал	то
-мал	удаваться
-мама	очень
-мама	чрезвычайно
-маю	почти
-мка	испытать
-му:	пахнуть
-мука̄н	велеть
-мука̄н	дать
-мука̄н	заставить
-мука̄н	позволить
-мука̄н	позволять
-мука̄н	предлагать
-мука̄н	предложить
-мука̄н	приказать
-мука̄н	приказывать
-мука̄н	разрешать
-мука̄н	разрешить
-мча̄	бы
-мэли	удаваться
-мӣ	если
-мӣ	не
-мӣ	охотиться
-на̄	вероятно
-на̄мкин	цель
-наки	если
-нун	лишь
-нун	с
-нун	со
-ра	не
-раки	если
-рӣкта	только
-со̄	чрезвычайно
-та̄	пользоваться
-та̄	считать
-таки	если
-тмар	гораздо
-тӯ	при
-тук	из
-тук	изо
-тула̄	до
-ты	съесть
-тэ̄	пользоваться
-тӯ	в
-тӯ	во
-ча	уже
-чаӈа	мочь
-чаӈа	умение
-чаӈа̄	суметь
-чаӈа̄	уметь
-чэӈэ̄	уметь
-ӈа̄чин	вроде
-ӈа̄чин	точно
-ӈачин	подобный
-ӈачин	словно
-ӈи	принадлежать
-ӈу	ли
-ӈу	либо
1.:	обход
2	беспокоить
2	бой
2.:	дрогнуть
2.:	затереть
2.:	крупный
2.:	курс
2.:	навести
2.:	налечь
2.:	наплыв
2.:	отбыть
2.:	падение
2.:	передача
2.:	поддаваться
2.:	полагаться
2.:	потерпеть
2.:	примета
2.:	укладывать
2.:	укладываться
2.:	уложить
2.:	хлестать
2.:	черта
3.:	забой
4.:	близкий
4.:	завести
4.:	заводить
4.:	затянуться
